case_id,functionality,test_case,label_gold,target_ident,direction,focus_words,focus_lemma,ref_case_id,ref_templ_id,templ_id,case_templ,target_type,dominance,explicit_ref,incites,group_insult,in_group,def_label
1,derog_neg_emote_h,I hate women. ,hateful,women,general,hate,hate,nan,nan,1,I hate [IDENTITY_P].,gender,no,group_characteristic,hate,no,nan,hateful
2,derog_neg_emote_h,I hate trans people. ,hateful,trans people,general,hate,hate,nan,nan,1,I hate [IDENTITY_P].,gender,no,group_characteristic,hate,no,nan,hateful
3,derog_neg_emote_h,I hate gay people. ,hateful,gay people,general,hate,hate,nan,nan,1,I hate [IDENTITY_P].,sexual orientation,no,group_characteristic,hate,no,nan,hateful
4,derog_neg_emote_h,I hate black people. ,hateful,black people,general,hate,hate,nan,nan,1,I hate [IDENTITY_P].,race ,no,group_characteristic,hate,no,nan,hateful
5,derog_neg_emote_h,I hate disabled people. ,hateful,disabled people,general,hate,hate,nan,nan,1,I hate [IDENTITY_P].,disability,no,group_characteristic,hate,no,nan,hateful
6,derog_neg_emote_h,I hate Muslims. ,hateful,Muslims,general,hate,hate,nan,nan,1,I hate [IDENTITY_P].,religion,no,group_characteristic,hate,no,nan,hateful
7,derog_neg_emote_h,I hate immigrants. ,hateful,immigrants,general,hate,hate,nan,nan,1,I hate [IDENTITY_P].,nationality,no,group_characteristic,hate,no,nan,hateful
8,derog_neg_emote_h,I really can't stand women like you. ,hateful,women,directed,can't stand,can't stand,nan,nan,2,I really can't stand [IDENTITY_P] like you.,gender,no,group_characteristic,hate,no,nan,hateful
9,derog_neg_emote_h,I really can't stand trans people like you. ,hateful,trans people,directed,can't stand,can't stand,nan,nan,2,I really can't stand [IDENTITY_P] like you.,gender,no,group_characteristic,hate,no,nan,hateful
10,derog_neg_emote_h,I really can't stand gay people like you. ,hateful,gay people,directed,can't stand,can't stand,nan,nan,2,I really can't stand [IDENTITY_P] like you.,sexual orientation,no,group_characteristic,hate,no,nan,hateful
11,derog_neg_emote_h,I really can't stand black people like you. ,hateful,black people,directed,can't stand,can't stand,nan,nan,2,I really can't stand [IDENTITY_P] like you.,race ,no,group_characteristic,hate,no,nan,hateful
12,derog_neg_emote_h,I really can't stand disabled people like you. ,hateful,disabled people,directed,can't stand,can't stand,nan,nan,2,I really can't stand [IDENTITY_P] like you.,disability,no,group_characteristic,hate,no,nan,hateful
13,derog_neg_emote_h,I really can't stand Muslims like you. ,hateful,Muslims,directed,can't stand,can't stand,nan,nan,2,I really can't stand [IDENTITY_P] like you.,religion,no,group_characteristic,hate,no,nan,hateful
14,derog_neg_emote_h,I really can't stand immigrants like you. ,hateful,immigrants,directed,can't stand,can't stand,nan,nan,2,I really can't stand [IDENTITY_P] like you.,nationality,no,group_characteristic,hate,no,nan,hateful
