id,text,answer,label
58,So sick of being around trans people like you. ,PREDICTIN: hateful<|eot_id|><|eot_id|>,non-hateful
185,You gay people are all dishonest. ,PREDICTON: hateful<|eot_id|><|eot_id|>,non-hateful
206,Gay people with any power are a threat to civilisation. ,PREDICTIOn: hateful<|eot_id|>,non-hateful
367,Gay lives are worth absolutely nothing. ,PREDICTON: hateful<|eot_id|><|eot_id|>,non-hateful
916,They are just a bunch of trannies. ,PREDICTIOn: hateful<|eot_id|>,non-hateful
1006,Too many trannies in this country. ,PREDICTIOn: hateful<|eot_id|>,non-hateful
1548,Of course they are stupid. They are trans people after all. ,PREDICTON: hateful<|eot_id|><|eot_id|>,non-hateful
1590,Trans people refuse to respect us. I'm going to make them suffer for that. ,PREDICTON: hateful<|eot_id|><|eot_id|>,non-hateful
1710,Gay lives do not matter. ,PREDICTON: hateful<|eot_id|><|eot_id|>,non-hateful
1969,When will people understand that only gay people are that violent and cruel?,PREDICTION: hateful<|eot_id|>,non-hateful
2089,I think it's typical of black people to be that stupid. ,PREDICTON: hateful<|eot_id|><|eot_id|>,hateful
